FIREWALL AI SOC ANALYST - INCIDENT REPORT
Generated: 2026-05-11 14:04:05.491812
Total Alerts: 181
Total Packets: 54113
Blocked IPs: []

=== ALERT LOG ===
14:04:04 | 104.18.39.85 -> 192.168.0.198 | Score: 0.10 | LOW
14:04:03 | 142.250.67.74 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:59 | 57.144.49.33 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:58 | 192.168.0.198 -> 3.173.21.63 | Score: 0.10 | LOW
14:03:54 | 142.251.12.188 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:50 | 142.251.151.119 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:33 | 23.64.59.18 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:31 | 142.250.193.69 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:26 | 17.253.18.197 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:26 | 172.64.148.235 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:21 | 17.253.18.198 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:21 | 172.217.24.74 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:21 | 142.250.182.110 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:18 | 3.123.149.45 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:09 | 142.251.10.188 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:09 | 3.173.21.63 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:08 | 142.251.221.195 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:08 | 192.168.0.1 -> 192.168.0.198 | Score: 0.10 | LOW
14:03:00 | 57.144.49.32 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:58 | 192.168.0.198 -> 17.248.239.10 | Score: 0.10 | LOW
14:02:54 | 172.217.26.14 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:47 | 142.250.67.74 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:34 | 142.250.76.74 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:33 | 142.251.151.119 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:32 | 17.253.18.201 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:29 | 142.251.223.106 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:25 | 192.168.0.197 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:25 | 104.18.39.85 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:24 | 142.251.12.188 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:24 | 23.64.59.18 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:24 | 142.250.193.69 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:22 | 172.64.148.235 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:20 | 17.253.18.198 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:20 | 172.217.24.74 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:20 | 185.199.111.154 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:19 | 20.207.73.86 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:17 | 3.123.149.45 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:15 | 185.199.108.153 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:15 | 185.199.110.153 -> 192.168.0.198 | Score: 0.10 | LOW
14:02:15 | 185.199.111.153 -> 192.168.0.198 | Score: 0.10 | LOW
